"","id","year","male","birthdate","birthyear","mono_index","sampyearsum","sociality","inno_count","domain_index","domain","age","logsampeff","MainGroup","groups","group","rank","max_group","avg_age","avg_rnk","avg_elo","rank_class","inno_count_ND","sociality.s","sociality.c","logage","logage.c","group_index","year_index","age_cat","adult.f","adult.m","adult","rankhi","rankmid","ranklo","innobinom","groupsize.c","innovator","innovatoryear"
"36","AL",2010,1,1995-05-15,1995,2,620,55.6,0,4,"social",16,6.42971947803914,"RF","RF","RF",1,22,15.1,1,1764.7,"high",0,0.258044396815618,3.66628352490422,2.77258872223978,0.774673075041906,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,0,0
"37","AL",2011,1,1995-05-15,1995,2,613,54.5,0,4,"social",17,6.41836493593621,"RF","RF","RF",1,25,16.1,1,1835.8,"high",0,0.180622987759537,2.56628352490421,2.83321334405622,0.835297696858341,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,0,0
"38","AL",2011,1,1995-05-15,1995,2,613,54.5,0,2,"investigative",17,6.41836493593621,"RF","RF","RF",1,25,16.1,1,1835.8,"high",0,0.180622987759537,2.56628352490421,2.83321334405622,0.835297696858341,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,0,0
"39","AL",2011,1,1995-05-15,1995,2,613,54.5,0,1,"foraging",17,6.41836493593621,"RF","RF","RF",1,25,16.1,1,1835.8,"high",0,0.180622987759537,2.56628352490421,2.83321334405622,0.835297696858341,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,0,0
"40","AL",2011,1,1995-05-15,1995,2,613,54.5,0,3,"self-directed",17,6.41836493593621,"RF","RF","RF",1,25,16.1,1,1835.8,"high",0,0.180622987759537,2.56628352490421,2.83321334405622,0.835297696858341,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,0,0
"41","AM",2007,0,1974-05-15,1974,3,349,36.8,0,4,"social",34,5.85507192220243,"FF","FF","FF",20,42,33.1,16.2,807.8,"mid",0,-1.06515786705195,-15.1337164750958,3.52636052461616,1.52844487741829,3,1,3,1,0,1,0,1,0,0,15.6309067688378,1,1
"42","AM",2007,0,1974-05-15,1974,3,349,36.8,0,3,"self-directed",34,5.85507192220243,"FF","FF","FF",20,42,33.1,16.2,807.8,"mid",0,-1.06515786705195,-15.1337164750958,3.52636052461616,1.52844487741829,3,1,3,1,0,1,0,1,0,0,15.6309067688378,1,1
"43","AM",2007,0,1974-05-15,1974,3,349,36.8,0,2,"investigative",34,5.85507192220243,"FF","FF","FF",20,42,33.1,16.2,807.8,"mid",0,-1.06515786705195,-15.1337164750958,3.52636052461616,1.52844487741829,3,1,3,1,0,1,0,1,0,0,15.6309067688378,1,1
"44","AM",2007,0,1974-05-15,1974,3,349,36.8,0,1,"foraging",34,5.85507192220243,"FF","FF","FF",20,42,33.1,16.2,807.8,"mid",0,-1.06515786705195,-15.1337164750958,3.52636052461616,1.52844487741829,3,1,3,1,0,1,0,1,0,0,15.6309067688378,1,1
"45","AM",2008,0,1974-05-15,1974,3,343,28.8,0,2,"investigative",35,5.83773044716594,"FF","FF","FF",12,23,34.1,9.3,722.8,"mid",0,-1.62822266018708,-23.1337164750958,3.55534806148941,1.55743241429154,3,2,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"46","AM",2008,0,1974-05-15,1974,3,343,28.8,0,1,"foraging",35,5.83773044716594,"FF","FF","FF",12,23,34.1,9.3,722.8,"mid",0,-1.62822266018708,-23.1337164750958,3.55534806148941,1.55743241429154,3,2,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"47","AM",2008,0,1974-05-15,1974,3,343,28.8,0,4,"social",35,5.83773044716594,"FF","FF","FF",12,23,34.1,9.3,722.8,"mid",0,-1.62822266018708,-23.1337164750958,3.55534806148941,1.55743241429154,3,2,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"48","AM",2008,0,1974-05-15,1974,3,343,28.8,0,3,"self-directed",35,5.83773044716594,"FF","FF","FF",12,23,34.1,9.3,722.8,"mid",0,-1.62822266018708,-23.1337164750958,3.55534806148941,1.55743241429154,3,2,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"49","AM",2009,0,1974-05-15,1974,3,544,28.1,0,3,"self-directed",36,6.29894924685594,"FF","FF","FF",11,22,35.1,11.2,607.5,"mid",0,-1.67749082958641,-23.8337164750958,3.58351893845611,1.58560329125823,3,3,3,1,0,1,0,1,0,0,-4.3690932311622,1,1
"50","AM",2009,0,1974-05-15,1974,3,544,28.1,0,2,"investigative",36,6.29894924685594,"FF","FF","FF",11,22,35.1,11.2,607.5,"mid",0,-1.67749082958641,-23.8337164750958,3.58351893845611,1.58560329125823,3,3,3,1,0,1,0,1,0,0,-4.3690932311622,1,1
"51","AM",2009,0,1974-05-15,1974,3,544,28.1,0,1,"foraging",36,6.29894924685594,"FF","FF","FF",11,22,35.1,11.2,607.5,"mid",0,-1.67749082958641,-23.8337164750958,3.58351893845611,1.58560329125823,3,3,3,1,0,1,0,1,0,0,-4.3690932311622,1,1
"52","AM",2009,0,1974-05-15,1974,3,544,28.1,0,4,"social",36,6.29894924685594,"FF","FF","FF",11,22,35.1,11.2,607.5,"mid",0,-1.67749082958641,-23.8337164750958,3.58351893845611,1.58560329125823,3,3,3,1,0,1,0,1,0,0,-4.3690932311622,1,1
"53","AM",2010,0,1974-05-15,1974,3,229,21.7,0,4,"social",37,5.43372200355424,"FF","FF,M:AM-BM-BV-FE-TH","FF",12,23,36.1,11,649.3,"mid",0,-2.12794266409452,-30.2337164750958,3.61091791264422,1.61300226544635,3,4,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"54","AM",2010,0,1974-05-15,1974,3,229,21.7,0,2,"investigative",37,5.43372200355424,"FF","FF,M:AM-BM-BV-FE-TH","FF",12,23,36.1,11,649.3,"mid",0,-2.12794266409452,-30.2337164750958,3.61091791264422,1.61300226544635,3,4,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"55","AM",2010,0,1974-05-15,1974,3,229,21.7,0,3,"self-directed",37,5.43372200355424,"FF","FF,M:AM-BM-BV-FE-TH","FF",12,23,36.1,11,649.3,"mid",0,-2.12794266409452,-30.2337164750958,3.61091791264422,1.61300226544635,3,4,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"56","AM",2010,0,1974-05-15,1974,3,229,21.7,0,1,"foraging",37,5.43372200355424,"FF","FF,M:AM-BM-BV-FE-TH","FF",12,23,36.1,11,649.3,"mid",0,-2.12794266409452,-30.2337164750958,3.61091791264422,1.61300226544635,3,4,3,1,0,1,0,1,0,0,-3.3690932311622,1,1
"57","AM",2011,0,1974-05-15,1974,3,1084,22.1,0,3,"self-directed",38,6.98841318199959,"FF","FF","FF",12,24,37.1,12.4,731,"mid",1,-2.09978942443776,-29.8337164750958,3.63758615972639,1.63967051252851,3,5,3,1,0,1,0,1,0,0,-2.3690932311622,1,1
"58","AM",2011,0,1974-05-15,1974,3,1084,22.1,0,2,"investigative",38,6.98841318199959,"FF","FF","FF",12,24,37.1,12.4,731,"mid",1,-2.09978942443776,-29.8337164750958,3.63758615972639,1.63967051252851,3,5,3,1,0,1,0,1,0,0,-2.3690932311622,1,1
"59","AM",2011,0,1974-05-15,1974,3,1084,22.1,1,1,"foraging",38,6.98841318199959,"FF","FF","FF",12,24,37.1,12.4,731,"mid",1,-2.09978942443776,-29.8337164750958,3.63758615972639,1.63967051252851,3,5,3,1,0,1,0,1,0,1,-2.3690932311622,1,1
"60","AM",2011,0,1974-05-15,1974,3,1084,22.1,0,4,"social",38,6.98841318199959,"FF","FF","FF",12,24,37.1,12.4,731,"mid",1,-2.09978942443776,-29.8337164750958,3.63758615972639,1.63967051252851,3,5,3,1,0,1,0,1,0,0,-2.3690932311622,1,1
"61","AN",2007,1,1997-05-15,1997,4,489,38,0,1,"foraging",11,6.19236248947487,"MK","MK","MK",4,24,10.1,1.8,1376.1,"high",0,-0.980698148081679,-13.9337164750958,2.39789527279837,0.399979625600495,6,1,3,0,1,1,1,0,0,0,-2.3690932311622,0,0
"62","AN",2007,1,1997-05-15,1997,4,489,38,0,4,"social",11,6.19236248947487,"MK","MK","MK",4,24,10.1,1.8,1376.1,"high",0,-0.980698148081679,-13.9337164750958,2.39789527279837,0.399979625600495,6,1,3,0,1,1,1,0,0,0,-2.3690932311622,0,0
"63","AN",2007,1,1997-05-15,1997,4,489,38,0,2,"investigative",11,6.19236248947487,"MK","MK","MK",4,24,10.1,1.8,1376.1,"high",0,-0.980698148081679,-13.9337164750958,2.39789527279837,0.399979625600495,6,1,3,0,1,1,1,0,0,0,-2.3690932311622,0,0
"64","AN",2007,1,1997-05-15,1997,4,489,38,0,3,"self-directed",11,6.19236248947487,"MK","MK","MK",4,24,10.1,1.8,1376.1,"high",0,-0.980698148081679,-13.9337164750958,2.39789527279837,0.399979625600495,6,1,3,0,1,1,1,0,0,0,-2.3690932311622,0,0
"65","AN",2008,1,1997-05-15,1997,4,56,60.6,0,4,"social",12,4.02535169073515,"MK","MK","MK",1,17,10.8,1,1379.3,"high",0,0.609959892525077,8.66628352490422,2.484906649788,0.486991002590125,6,2,3,0,1,1,1,0,0,0,-9.3690932311622,0,0
"66","AN",2008,1,1997-05-15,1997,4,56,60.6,0,1,"foraging",12,4.02535169073515,"MK","MK","MK",1,17,10.8,1,1379.3,"high",0,0.609959892525077,8.66628352490422,2.484906649788,0.486991002590125,6,2,3,0,1,1,1,0,0,0,-9.3690932311622,0,0
"67","AN",2008,1,1997-05-15,1997,4,56,60.6,0,3,"self-directed",12,4.02535169073515,"MK","MK","MK",1,17,10.8,1,1379.3,"high",0,0.609959892525077,8.66628352490422,2.484906649788,0.486991002590125,6,2,3,0,1,1,1,0,0,0,-9.3690932311622,0,0
"68","AN",2008,1,1997-05-15,1997,4,56,60.6,0,2,"investigative",12,4.02535169073515,"MK","MK","MK",1,17,10.8,1,1379.3,"high",0,0.609959892525077,8.66628352490422,2.484906649788,0.486991002590125,6,2,3,0,1,1,1,0,0,0,-9.3690932311622,0,0
"71","AO",2007,1,2001-10-31,2001,5,1363,43.6,0,3,"self-directed",7,7.21744343169653,"FF","CU,FF,M:AO-GF-LX-SM,M:AO-LX-SM-TW,RF","FF",16,42,5.6,12.2,1059.9,"mid",0,-0.586552792887084,-8.33371647509578,1.94591014905531,-0.0520054981425622,3,1,2,0,0,0,0,1,0,0,15.6309067688378,1,1
"74","AO",2007,1,2001-10-31,2001,5,1363,43.6,0,2,"investigative",7,7.21744343169653,"FF","CU,FF,M:AO-GF-LX-SM,M:AO-LX-SM-TW,RF","FF",16,42,5.6,12.2,1059.9,"mid",0,-0.586552792887084,-8.33371647509578,1.94591014905531,-0.0520054981425622,3,1,2,0,0,0,0,1,0,0,15.6309067688378,1,1
"77","AO",2007,1,2001-10-31,2001,5,1363,43.6,0,1,"foraging",7,7.21744343169653,"FF","CU,FF,M:AO-GF-LX-SM,M:AO-LX-SM-TW,RF","FF",16,42,5.6,12.2,1059.9,"mid",0,-0.586552792887084,-8.33371647509578,1.94591014905531,-0.0520054981425622,3,1,2,0,0,0,0,1,0,0,15.6309067688378,1,1
"80","AO",2007,1,2001-10-31,2001,5,1363,43.6,0,4,"social",7,7.21744343169653,"FF","CU,FF,M:AO-GF-LX-SM,M:AO-LX-SM-TW,RF","FF",16,42,5.6,12.2,1059.9,"mid",0,-0.586552792887084,-8.33371647509578,1.94591014905531,-0.0520054981425622,3,1,2,0,0,0,0,1,0,0,15.6309067688378,1,1
"82","AO",2008,1,2001-10-31,2001,5,1720,33.8,0,2,"investigative",8,7.4500795698075,"RF","FF,RF","RF",3,18,6.7,3,1423.5,"high",0,-1.27630716447762,-18.1337164750958,2.07944154167984,0.0815258944819603,8,2,2,0,0,0,1,0,0,0,-8.3690932311622,1,1
"84","AO",2008,1,2001-10-31,2001,5,1720,33.8,0,1,"foraging",8,7.4500795698075,"RF","FF,RF","RF",3,18,6.7,3,1423.5,"high",0,-1.27630716447762,-18.1337164750958,2.07944154167984,0.0815258944819603,8,2,2,0,0,0,1,0,0,0,-8.3690932311622,1,1
"86","AO",2008,1,2001-10-31,2001,5,1720,33.8,0,3,"self-directed",8,7.4500795698075,"RF","FF,RF","RF",3,18,6.7,3,1423.5,"high",0,-1.27630716447762,-18.1337164750958,2.07944154167984,0.0815258944819603,8,2,2,0,0,0,1,0,0,0,-8.3690932311622,1,1
"88","AO",2008,1,2001-10-31,2001,5,1720,33.8,0,4,"social",8,7.4500795698075,"RF","FF,RF","RF",3,18,6.7,3,1423.5,"high",0,-1.27630716447762,-18.1337164750958,2.07944154167984,0.0815258944819603,8,2,2,0,0,0,1,0,0,0,-8.3690932311622,1,1
"89","AO",2009,1,2001-10-31,2001,5,1628,38.1,0,3,"self-directed",9,7.39510754656249,"RF","RF","RF",4,20,7.7,4.1,1364.5,"high",1,-0.973659838167489,-13.8337164750958,2.19722457733622,0.199308930138344,8,3,2,0,0,0,1,0,0,0,-6.3690932311622,1,1
"90","AO",2009,1,2001-10-31,2001,5,1628,38.1,1,4,"social",9,7.39510754656249,"RF","RF","RF",4,20,7.7,4.1,1364.5,"high",1,-0.973659838167489,-13.8337164750958,2.19722457733622,0.199308930138344,8,3,2,0,0,0,1,0,0,1,-6.3690932311622,1,1
"91","AO",2009,1,2001-10-31,2001,5,1628,38.1,0,1,"foraging",9,7.39510754656249,"RF","RF","RF",4,20,7.7,4.1,1364.5,"high",1,-0.973659838167489,-13.8337164750958,2.19722457733622,0.199308930138344,8,3,2,0,0,0,1,0,0,0,-6.3690932311622,1,1
"92","AO",2009,1,2001-10-31,2001,5,1628,38.1,0,2,"investigative",9,7.39510754656249,"RF","RF","RF",4,20,7.7,4.1,1364.5,"high",1,-0.973659838167489,-13.8337164750958,2.19722457733622,0.199308930138344,8,3,2,0,0,0,1,0,0,0,-6.3690932311622,1,1
"94","AO",2010,1,2001-10-31,2001,5,645,26.4,0,3,"self-directed",10,6.46925031679577,"RF","RF","RF",5,22,8.7,5.1,1269.9,"high",0,-1.79714209812762,-25.5337164750958,2.30258509299405,0.304669445796171,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,1,1
"96","AO",2010,1,2001-10-31,2001,5,645,26.4,0,1,"foraging",10,6.46925031679577,"RF","RF","RF",5,22,8.7,5.1,1269.9,"high",0,-1.79714209812762,-25.5337164750958,2.30258509299405,0.304669445796171,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,1,1
"98","AO",2010,1,2001-10-31,2001,5,645,26.4,0,2,"investigative",10,6.46925031679577,"RF","RF","RF",5,22,8.7,5.1,1269.9,"high",0,-1.79714209812762,-25.5337164750958,2.30258509299405,0.304669445796171,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,1,1
"100","AO",2010,1,2001-10-31,2001,5,645,26.4,0,4,"social",10,6.46925031679577,"RF","RF","RF",5,22,8.7,5.1,1269.9,"high",0,-1.79714209812762,-25.5337164750958,2.30258509299405,0.304669445796171,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,1,1
"101","AO",2011,1,2001-10-31,2001,5,419,26,0,4,"social",11,6.03787091992214,"RF","AO,CU,NM,RF","RF",5,25,9.6,5,1283.3,"high",0,-1.82529533778438,-25.9337164750958,2.39789527279837,0.399979625600495,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,1,1
"104","AO",2011,1,2001-10-31,2001,5,419,26,0,1,"foraging",11,6.03787091992214,"RF","AO,CU,NM,RF","RF",5,25,9.6,5,1283.3,"high",0,-1.82529533778438,-25.9337164750958,2.39789527279837,0.399979625600495,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,1,1
"107","AO",2011,1,2001-10-31,2001,5,419,26,0,2,"investigative",11,6.03787091992214,"RF","AO,CU,NM,RF","RF",5,25,9.6,5,1283.3,"high",0,-1.82529533778438,-25.9337164750958,2.39789527279837,0.399979625600495,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,1,1
"110","AO",2011,1,2001-10-31,2001,5,419,26,0,3,"self-directed",11,6.03787091992214,"RF","AO,CU,NM,RF","RF",5,25,9.6,5,1283.3,"high",0,-1.82529533778438,-25.9337164750958,2.39789527279837,0.399979625600495,8,5,3,0,1,1,1,0,0,0,-1.3690932311622,1,1
"117","AS",2009,0,2008-02-20,2008,6,93,61.4,0,1,"foraging",2,4.53259949315326,"SP","SP","SP",19,26,1.4,19.6,0,"low",0,0.666266371838591,9.46628352490421,0.693147180559945,-1.30476846663793,10,3,1,0,0,0,0,0,1,0,-0.369093231162196,1,1
"118","AS",2009,0,2008-02-20,2008,6,93,61.4,0,3,"self-directed",2,4.53259949315326,"SP","SP","SP",19,26,1.4,19.6,0,"low",0,0.666266371838591,9.46628352490421,0.693147180559945,-1.30476846663793,10,3,1,0,0,0,0,0,1,0,-0.369093231162196,1,1
"119","AS",2009,0,2008-02-20,2008,6,93,61.4,0,2,"investigative",2,4.53259949315326,"SP","SP","SP",19,26,1.4,19.6,0,"low",0,0.666266371838591,9.46628352490421,0.693147180559945,-1.30476846663793,10,3,1,0,0,0,0,0,1,0,-0.369093231162196,1,1
"120","AS",2009,0,2008-02-20,2008,6,93,61.4,0,4,"social",2,4.53259949315326,"SP","SP","SP",19,26,1.4,19.6,0,"low",0,0.666266371838591,9.46628352490421,0.693147180559945,-1.30476846663793,10,3,1,0,0,0,0,0,1,0,-0.369093231162196,1,1
"121","AS",2010,0,2008-02-20,2008,6,319,40.7,0,2,"investigative",3,5.76519110278484,"SP","SP","SP",32,35,2.4,24.6,0,"low",0,-0.79066378039857,-11.2337164750958,1.09861228866811,-0.899303358529766,10,4,1,0,0,0,0,0,1,0,8.6309067688378,1,1
"122","AS",2010,0,2008-02-20,2008,6,319,40.7,0,4,"social",3,5.76519110278484,"SP","SP","SP",32,35,2.4,24.6,0,"low",0,-0.79066378039857,-11.2337164750958,1.09861228866811,-0.899303358529766,10,4,1,0,0,0,0,0,1,0,8.6309067688378,1,1
"123","AS",2010,0,2008-02-20,2008,6,319,40.7,0,3,"self-directed",3,5.76519110278484,"SP","SP","SP",32,35,2.4,24.6,0,"low",0,-0.79066378039857,-11.2337164750958,1.09861228866811,-0.899303358529766,10,4,1,0,0,0,0,0,1,0,8.6309067688378,1,1
"124","AS",2010,0,2008-02-20,2008,6,319,40.7,0,1,"foraging",3,5.76519110278484,"SP","SP","SP",32,35,2.4,24.6,0,"low",0,-0.79066378039857,-11.2337164750958,1.09861228866811,-0.899303358529766,10,4,1,0,0,0,0,0,1,0,8.6309067688378,1,1
"125","AS",2011,0,2008-02-20,2008,6,65,43.1,0,3,"self-directed",4,4.17438726989564,"SP","SP","SP",21,31,3.4,19.5,523.1,"low",1,-0.62174434245803,-8.83371647509578,1.38629436111989,-0.611621286077985,10,5,1,0,0,0,0,0,1,0,4.6309067688378,1,1
"126","AS",2011,0,2008-02-20,2008,6,65,43.1,0,4,"social",4,4.17438726989564,"SP","SP","SP",21,31,3.4,19.5,523.1,"low",1,-0.62174434245803,-8.83371647509578,1.38629436111989,-0.611621286077985,10,5,1,0,0,0,0,0,1,0,4.6309067688378,1,1
"127","AS",2011,0,2008-02-20,2008,6,65,43.1,1,2,"investigative",4,4.17438726989564,"SP","SP","SP",21,31,3.4,19.5,523.1,"low",1,-0.62174434245803,-8.83371647509578,1.38629436111989,-0.611621286077985,10,5,1,0,0,0,0,0,1,1,4.6309067688378,1,1
"128","AS",2011,0,2008-02-20,2008,6,65,43.1,0,1,"foraging",4,4.17438726989564,"SP","SP","SP",21,31,3.4,19.5,523.1,"low",1,-0.62174434245803,-8.83371647509578,1.38629436111989,-0.611621286077985,10,5,1,0,0,0,0,0,1,0,4.6309067688378,1,1
"133","AV",2011,1,2010-07-19,2010,7,489,76.4,0,1,"foraging",2,6.19236248947487,"FF","FF","FF",18,24,1,18.8,0,"low",1,1.72201285896697,24.4662835249042,0.693147180559945,-1.30476846663793,3,5,1,0,0,0,0,0,1,0,-2.3690932311622,1,1
"134","AV",2011,1,2010-07-19,2010,7,489,76.4,0,3,"self-directed",2,6.19236248947487,"FF","FF","FF",18,24,1,18.8,0,"low",1,1.72201285896697,24.4662835249042,0.693147180559945,-1.30476846663793,3,5,1,0,0,0,0,0,1,0,-2.3690932311622,1,1
"135","AV",2011,1,2010-07-19,2010,7,489,76.4,0,2,"investigative",2,6.19236248947487,"FF","FF","FF",18,24,1,18.8,0,"low",1,1.72201285896697,24.4662835249042,0.693147180559945,-1.30476846663793,3,5,1,0,0,0,0,0,1,0,-2.3690932311622,1,1
"136","AV",2011,1,2010-07-19,2010,7,489,76.4,1,4,"social",2,6.19236248947487,"FF","FF","FF",18,24,1,18.8,0,"low",1,1.72201285896697,24.4662835249042,0.693147180559945,-1.30476846663793,3,5,1,0,0,0,0,0,1,1,-2.3690932311622,1,1
"141","AY",2010,0,2009-03-01,2009,8,227,61.7,0,3,"self-directed",2,5.4249500174814,"SP","SP","SP",32,35,1.3,24.6,0,"low",0,0.687381301581159,9.76628352490422,0.693147180559945,-1.30476846663793,10,4,1,0,0,0,0,0,1,0,8.6309067688378,0,0
"142","AY",2010,0,2009-03-01,2009,8,227,61.7,0,2,"investigative",2,5.4249500174814,"SP","SP","SP",32,35,1.3,24.6,0,"low",0,0.687381301581159,9.76628352490422,0.693147180559945,-1.30476846663793,10,4,1,0,0,0,0,0,1,0,8.6309067688378,0,0
"143","AY",2010,0,2009-03-01,2009,8,227,61.7,0,1,"foraging",2,5.4249500174814,"SP","SP","SP",32,35,1.3,24.6,0,"low",0,0.687381301581159,9.76628352490422,0.693147180559945,-1.30476846663793,10,4,1,0,0,0,0,0,1,0,8.6309067688378,0,0
"144","AY",2010,0,2009-03-01,2009,8,227,61.7,0,4,"social",2,5.4249500174814,"SP","SP","SP",32,35,1.3,24.6,0,"low",0,0.687381301581159,9.76628352490422,0.693147180559945,-1.30476846663793,10,4,1,0,0,0,0,0,1,0,8.6309067688378,0,0
